CustomerID,cluster,Order Value,proba_churn_model,OrderValue_scaled,ExpectedLoss_score,ExpectedLoss_pred,ExpectedLoss_real
CUS000002,0,3,0.9999969702356735,1.0,0.9999969702356735,,2.9999909107070204
CUS000466,2,3,0.9997772020249285,1.0,0.9997772020249285,,2.9993316060747857
CUS000436,0,3,0.9996180181912697,1.0,0.9996180181912697,,2.998854054573809
CUS000055,0,3,0.999535645775375,1.0,0.999535645775375,,2.998606937326125
CUS000171,0,3,0.9995136232426536,1.0,0.9995136232426536,,2.998540869727961
CUS000395,2,3,0.9991597358395249,1.0,0.9991597358395249,,2.9974792075185746
CUS000074,0,3,0.9988312642968638,1.0,0.9988312642968638,0.9928598870841392,2.9964937928905915
CUS000041,2,3,0.9987295897988123,1.0,0.9987295897988123,,2.996188769396437
CUS000063,0,3,0.9986899312081748,1.0,0.9986899312081748,,2.9960697936245246
CUS000186,0,3,0.9985910708013447,1.0,0.9985910708013447,,2.995773212404034
CUS000046,0,3,0.9985087019897178,1.0,0.9985087019897178,,2.9955261059691534
CUS000112,2,3,0.9980032174553528,1.0,0.9980032174553528,,2.994009652366058
CUS000012,0,3,0.9979892468238023,1.0,0.9979892468238023,0.9909763729725104,2.993967740471407
CUS000384,2,3,0.9977996842045588,1.0,0.9977996842045588,,2.9933990526136762
CUS000088,0,3,0.9971045354905095,1.0,0.9971045354905095,,2.9913136064715284
CUS000388,2,3,0.995105526231459,1.0,0.995105526231459,,2.985316578694377
CUS000011,0,3,0.9948686115107775,1.0,0.9948686115107775,,2.9846058345323327
CUS000495,2,3,0.9945949172235257,1.0,0.9945949172235257,0.9882504292755802,2.983784751670577
CUS000098,0,3,0.994168700294237,1.0,0.994168700294237,,2.982506100882711
CUS000446,2,3,0.9941544002657786,1.0,0.9941544002657786,,2.9824632007973357
CUS000015,0,3,0.9931319695672499,1.0,0.9931319695672499,,2.9793959087017496
CUS000406,0,3,0.9929111622621126,1.0,0.9929111622621126,,2.978733486786338
CUS000416,2,3,0.9928963412690543,1.0,0.9928963412690543,,2.978689023807163
CUS000005,0,3,0.9922400064178202,1.0,0.9922400064178202,,2.9767200192534604
CUS000356,2,3,0.9919618557024987,1.0,0.9919618557024987,0.9256588484498138,2.975885567107496
CUS000039,0,3,0.9913890987868209,1.0,0.9913890987868209,,2.974167296360463
CUS000394,2,3,0.990984696414668,1.0,0.990984696414668,,2.972954089244004
CUS000124,2,3,0.9906397521264119,1.0,0.9906397521264119,,2.971919256379236
CUS000335,2,3,0.9906152439423165,1.0,0.9906152439423165,,2.9718457318269493
CUS000318,2,3,0.9888734322346894,1.0,0.9888734322346894,,2.9666202967040682
CUS000391,2,3,0.9852558368967895,1.0,0.9852558368967895,0.9752500344283541,2.9557675106903685
CUS000043,2,3,0.9847634003664987,1.0,0.9847634003664987,,2.954290201099496
CUS000069,2,3,0.981543592495803,1.0,0.981543592495803,0.9723600884656817,2.944630777487409
CUS000127,0,3,0.9811221300078721,1.0,0.9811221300078721,0.991535863179971,2.943366390023616
CUS000430,2,3,0.9800041209091145,1.0,0.9800041209091145,,2.9400123627273436
CUS000396,2,3,0.9787897055138824,1.0,0.9787897055138824,,2.9363691165416475
CUS000215,0,3,0.976337929584973,1.0,0.976337929584973,,2.929013788754919
CUS000145,0,3,0.962297641077547,1.0,0.962297641077547,,2.886892923232641
CUS000092,0,3,0.9590965357308024,1.0,0.9590965357308024,,2.8772896071924072
CUS000131,0,3,0.9543850276895,1.0,0.9543850276895,,2.8631550830685
CUS000457,0,3,0.9489765173338274,1.0,0.9489765173338274,,2.846929552001482
CUS000345,2,3,0.9479486082882332,1.0,0.9479486082882332,,2.8438458248646996
CUS000382,2,3,0.9474349446628532,1.0,0.9474349446628532,,2.8423048339885595
CUS000089,0,3,0.9468743431403596,1.0,0.9468743431403596,,2.840623029421079
CUS000292,2,3,0.9358504213401039,1.0,0.9358504213401039,,2.8075512640203115
CUS000239,2,3,0.9346238949870814,1.0,0.9346238949870814,,2.803871684961244
CUS000135,2,3,0.9317271727606472,1.0,0.9317271727606472,,2.7951815182819417
CUS000077,0,3,0.9236765954115028,1.0,0.9236765954115028,0.9847677055452142,2.7710297862345086
CUS000428,2,3,0.9232899339003291,1.0,0.9232899339003291,,2.7698698017009873
CUS000497,2,3,0.9203067806044826,1.0,0.9203067806044826,,2.760920341813448
